sku,category,price,name
1263699,780,26,[193 102 221  13  57 176  57  99 169  14 242  45  29  91 135 191]
742320,4220,64,[ 95 172 124 189 137 196 226  95 237 124   1 102 172 171 102 102]
1201131,2243,37,[187 187 187 187 187 187 187 187 187 187 187 187 187 187 187 187]
167164,3130,38,[125 189 171 189 186 207  42  31 113 219 221 110 163  21 129 142]
1350853,3863,85,[175  21   3 157  93  71 123  76  57  95 235  91 102 171  40 131]
1526543,2155,81,[236 147 102 137 236 134  22 236 203 167 174 147  23  38  77  16]
398234,5716,32,[127 140 115 129 112 115 151  45 184 240 184 176  70 220 210  70]
1344477,1833,74,[156 128 190 190  18 236 236  18  22 128 128 156 128  77 156 156]
1397286,4356,93,[148 225  98  36  60 255  30  17  47 202 131 162  11  93  98 116]
227803,4072,71,[137 126  13 252 210  11  91 177 177 178 143 177  92  36 168 126]
868991,5903,13,[102 163 207 216 141 106 104 223  17 190 106 140 152  39 130 111]
326890,4924,22,[193  48 115 178 155 122  89 222 236 247 122 207 186 216  28 203]
283488,2931,48,[  3 112 119 248 209 145 200  68  82  68 119  68  80 209  68 119]
1604590,4924,25,[ 21 222 115 178 176  99  90 222 238 136 131  76 186 216  28 216]
1190224,4924,39,[193 104 115 150 176  89  90 222 230 141 122 216 226 216  28 103]
652357,4924,25,[193 165 115 242  44   3 161 222 218 247  45  76 219 216  28   1]
670515,3362,96,[253  30  71 142  37 199 235  27 241 235  27 153 235   9 153 235]
450898,4072,67,[174 126  13 177 177  11  93 177  16  23 177 177  92 177 168 201]
80067,2663,94,[207 101 107 184 217  29 235 180 239 215 253 213 255 232 120 174]
609119,4092,88,[247 132 132 132 132  22 137 242 147 242 137  10  36 195  22 242]
557553,4356,83,[ 98  98 148  59 116  13  98 175  98  98  98  32  98  98  98 116]
504723,4454,93,[210 171  43 231  96  91  43  66 114  88  84  88 245  42 102  21]
65113,3075,5,[ 95 210 124 230 222 189 226 171 237  88  97 230 172 171 237 142]
654303,2490,1,[194 210 221 194 181  36  83  25 190  57  10 102 231 222 253 161]
268159,4044,30,[171 210 250   3 222 239 226 142 237  70 253 171  68 102 171  97]
561849,2490,0,[215 106 140 172 194 138  53 254  28 104 253 221 193  16  96  44]
1501807,1895,0,[228 138 171 170 102  53 193  25 152   4  10 138 193   7 155  72]
1075646,3075,0,[171 210  24   3 222 239 226 171 237 171 233 171 194 184 171 224]
833112,2490,1,[227 245 164   3 108  95 171 171 124 210 142 201  35  47 130 162]
1038741,3075,1,[171 108   3 176 223 189 107 155 170 171  60  13  35 184 170  40]
1160707,2490,1,[215 106 140 172 194 194  53 254  28 144 253  21 193  15 243  44]
919289,6332,72,[204  86  94 182  68  73  73  73 127 179  27  73 179  88 244  98]
116358,2285,69,[ 32 110 107 159  47  43   6 100 243 126  32 174  38  23  23 140]
1277195,64,58,[ 78 178 224 178  90 176 116 222 253  51  71 164 186 249 106  11]
471843,2274,27,[223 100 233  66 177 190 190  92 190  48 118 245 223 233  63 190]
1390850,5308,41,[188  42   9  81 246  81 138 142 138  17 170 202  83  81  97 146]
1318959,258,36,[217 217 202 125 134  57 207 242 221  60 159 110 226 166 136 120]
